4,681,,9,672,,,672,0,,411,0,,,,,,,,,,,,
5,690,,10,663,,,663,0,,423,0,,,,,,,,,,,,
6,679,,11,794,,,794,1,,472,0,,,,,,,,,,,,
7,617,,12,590,,,590,0,,361,0,,,,,,,,,,,,
8,678,,13,501,,,501,0,,546,1,,,,,,,,,,,,
9,672,,14,619,,,619,0,,397,0,,,,,,,,,,,,
10,663,,15,714,,,714,0,,410,0,,,,,,,,,,,,
11,794,,16,316,,,316,0,,414,0,,,,,,,,,,,,
12,590,,17,698,,,698,0,,391,0,,,,,,,,,,,,
13,501,,18,652,,,652,0,,520,0,,,,,,,,,,,,
14,619,,19,673,,,673,0,,418,0,,,,,,,,,,,,
15,714,,20,748,,,748,0,,432,0,,,,,,,,,,,,
16,316,,21,614,,,614,0,,470,0,,,,,,,,,,,,
17,698,,22,500,,,500,0,,561,1,,,,,,,,,,,,
18,652,,23,16,,,16,0,,403,0,,,,,,,,,,,,
19,673,,0,79,,,,13,,555,1,,,,,,,,,,,,
20,748,,1,220,,,,,,463,0,,,,,,,,,,,,
21,614,,2,424,,,,,,457,0,,,,,,,,,,,,
22,500,,3,508,,,,,,490,0,,,,,,,,,,,,
23,16,,4,518,,,,,,394,0,,,,,,,,,,,,
28-Apr,,,5,422,,,,,,465,0,,,,,,,,,,,,
0,79,,6,513,,,,,,500,0,,,,,,,,,,,,
1,220,,7,447,,,,,,427,0,,,,,,,,,,,,
2,424,,8,481,,,,,,494,0,,,,,,,,,,,,
3,508,,9,448,,,,,,380,0,,,,,,,,,,,,
4,518,,10,544,,,,,,369,0,,,,,,,,,,,,
5,422,,11,454,,,,,,392,0,,,,,,,,,,,,
6,513,,12,422,,,,,,446,0,,,,,,,,,,,,
7,447,,13,388,,,,,,336,0,,,,,,,,,,,,
8,481,,14,448,,,,,,380,0,,,,,,,,,,,,
9,448,,15,519,,,,,,438,0,,,,,,,,,,,,
10,544,,16,517,,,,,,467,0,,,,,,,,,,,,
11,454,,17,435,,,,,,452,0,,,,,,,,,,,,
12,422,,18,461,,,,,,346,0,,,,,,,,,,,,
13,388,,19,575,,,,,,498,0,,,,,,,,,,,,
14,448,,20,385,,,,,,406,0,,,,,,,,,,,,
15,519,,21,526,,,,,,449,0,,,,,,,,,,,,
16,517,,22,494,,,,,,463,0,,,,,,,,,,,,
17,435,,23,486,,,,,,386,0,,,,,,,,,,,,
18,461,,0,461,,,,,,480,0,,,,,,,,,,,,
19,575,,1,561,,,,,,497,0,,,,,,,,,,,,
20,385,,2,472,,,,,,410,0,,,,,,,,,,,,
21,526,,3,425,,,,,,508,0,,,,,,,,,,,,
22,494,,4,503,,,,,,439,0,,,,,,,,,,,,
23,486,,5,472,,,,,,445,0,,,,,,,,,,,,
29-Apr,,,6,550,,,,,,466,0,,,,,,,,,,,,
0,461,,7,480,,,,,,322,0,,,,,,,,,,,,
1,561,,8,513,,,,,,276,0,,,,,,,,,,,,
2,472,,9,436,,,,,,337,0,,,,,,,,,,,,
3,425,,10,529,,,,,,455,0,,,,,,,,,,,,
4,503,,11,490,,,,,,380,0,,,,,,,,,,,,
5,472,,12,475,,,,,,434,0,,,,,,,,,,,,
6,550,,13,507,,,,,,292,0,,,,,,,,,,,,
7,480,,14,509,,,,,,,12,,,,,,,,,,,,
8,513,,15,455,,,,,,,,,,,,,,,,,,,
9,436,,16,364,,,,,,,,,,,,,,,,,,,
10,529,,17,488,,,,,,,,,,,,,,,,,,,
11,490,,18,375,,,,,,,,,,,,,,,,,,,
12,475,,19,473,,,,,,,,,,,,,,,,,,,
13,507,,20,475,,,,,,,,,,,,,,,,,,,
14,509,,21,495,,,,,,,,,,,,,,,,,,,
15,455,,22,462,,,,,,,,,,,,,,,,,,,
16,364,,23,473,,,,,,,,,,,,,,,,,,,
17,488,,0,498,,,,,,,,,,,,,,,,,,,
18,375,,1,467,,,,,,,,,,,,,,,,,,,
19,473,,2,492,,,,,,,,,,,,,,,,,,,
20,475,,3,521,,,,,,,,,,,,,,,,,,,
21,495,,4,518,,,,,,,,,,,,,,,,,,,
22,462,,5,502,,,,,,,,,,,,,,,,,,,
23,473,,6,446,,,,,,,,,,,,,,,,,,,
30-Apr,,,7,451,,,,,,,,,,,,,,,,,,,
0,498,,8,559,,,,,,,,,,,,,,,,,,,
1,467,,9,450,,,,,,,,,,,,,,,,,,,
2,492,,10,521,,,,,,,,,,,,,,,,,,,
3,521,,11,433,,,,,,,,,,,,,,,,,,,
4,518,,12,516,,,,,,,,,,,,,,,,,,,
5,502,,13,486,,,,,,,,,,,,,,,,,,,
6,446,,14,398,,,,,,,,,,,,,,,,,,,
7,451,,15,453,,,,,,,,,,,,,,,,,,,
8,559,,16,347,,,,,,,,,,,,,,,,,,,
9,450,,17,433,,,,,,,,,,,,,,,,,,,
10,521,,18,483,,,,,,,,,,,,,,,,,,,
11,433,,19,434,,,,,,,,,,,,,,,,,,,
12,516,,20,466,,,,,,,,,,,,,,,,,,,
13,486,,21,474,,,,,,,,,,,,,,,,,,,
14,398,,22,477,,,,,,,,,,,,,,,,,,,
15,453,,23,470,,,,,,,,,,,,,,,,,,,
16,347,,0,512,,,,,,,,,,,,,,,,,,,
17,433,,1,459,,,,,,,,,,,,,,,,,,,
18,483,,2,486,,,,,,,,,,,,,,,,,,,
19,434,,3,455,,,,,,,,,,,,,,,,,,,
20,466,,4,465,,,,,,,,,,,,,,,,,,,
21,474,,5,492,,,,,,,,,,,,,,,,,,,
22,477,,6,534,,,,,,,,,,,,,,,,,,,
23,470,,7,513,,,,,,,,,,,,,,,,,,,
May,,,8,384,,,,,,,,,,,,,,,,,,,
01-May,,,9,514,,,,,,,,,,,,,,,,,,,
0,512,,10,460,,,,,,,,,,,,,,,,,,,
1,459,,11,449,,,,,,,,,,,,,,,,,,,
2,486,,12,530,,,,,,,,,,,,,,,,,,,
3,455,,13,456,,,,,,,,,,,,,,,,,,,
4,465,,14,411,,,,,,,,,,,,,,,,,,,
5,492,,15,423,,,,,,,,,,,,,,,,,,,
6,534,,16,472,,,,,,,,,,,,,,,,,,,
7,513,,17,361,,,,,,,,,,,,,,,,,,,
8,384,,18,546,,,,,,,,,,,,,,,,,,,
9,514,,19,397,,,,,,,,,,,,,,,,,,,
10,460,,20,410,,,,,,,,,,,,,,,,,,,
11,449,,21,414,,,,,,,,,,,,,,,,,,,
12,530,,22,391,,,,,,,,,,,,,,,,,,,
13,456,,23,520,,,,,,,,,,,,,,,,,,,
14,411,,0,418,,,,,,,,,,,,,,,,,,,
15,423,,1,432,,,,,,,,,,,,,,,,,,,
16,472,,2,470,,,,,,,,,,,,,,,,,,,
17,361,,3,561,,,,,,,,,,,,,,,,,,,
18,546,,4,403,,,,,,,,,,,,,,,,,,,
19,397,,5,555,,,,,,,,,,,,,,,,,,,
20,410,,6,463,,,,,,,,,,,,,,,,,,,
21,414,,7,457,,,,,,,,,,,,,,,,,,,
22,391,,8,490,,,,,,,,,,,,,,,,,,,
23,520,,9,394,,,,,,,,,,,,,,,,,,,
02-May,,,10,465,,,,,,,,,,,,,,,,,,,
0,418,,11,500,,,,,,,,,,,,,,,,,,,
